Checking CSS leakage...

❌ CSS LEAKAGE DETECTED

| Partial | Class | Defined In |
| `.factory-config-loading` | factory | views/factory.css |
| `.factory-sim-toggle-btn` | factory | views/factory.css |
| `.factory-sim-sidebar` | factory | views/factory.css |
| `.factory-sim-section` | factory | views/factory.css |
| `.factory-sim-section-title` | factory | views/factory.css |
| `.factory-sim-presets` | factory | views/factory.css |
| `.factory-sim-preset-btn` | factory | views/factory.css |
| `.factory-sim-columns` | factory | views/factory.css |
| `.factory-sim-col` | factory | views/factory.css |
| `.factory-sim-field` | factory | views/factory.css |
| `.factory-sim-label` | factory | views/factory.css |
| `.factory-sim-val` | factory | views/factory.css |
| `.factory-sim-derived` | factory | views/factory.css |
| `.factory-sim-range` | factory | views/factory.css |
| `.factory-sim-check` | factory | views/factory.css |
| `.factory-sim-radios` | factory | views/factory.css |
| `.factory-sim-radio` | factory | views/factory.css |
| `.health-strip` | dashboard | views/dashboard.css |
| `.health-chip-dot` | dashboard | views/dashboard.css |
| `.health-chip-name` | dashboard | views/dashboard.css |
| `.health-chip-stats` | dashboard | views/dashboard.css |
| `.health-chip-overdue` | dashboard | views/dashboard.css |
| `.dashboard-container-3zone` | dashboard | views/dashboard.css |
| `.dashboard-zone-header` | dashboard | views/dashboard.css |
| `.dashboard-zone-subheader` | dashboard | views/dashboard.css |
| `.dashboard-morning-brief-banner` | dashboard | views/dashboard.css |
| `.brief-banner-section` | dashboard | views/dashboard.css |
| `.brief-banner-section-label` | dashboard | views/dashboard.css |
| `.brief-banner-overdue-content` | dashboard | views/dashboard.css |
| `.brief-banner-overdue-count` | dashboard | views/dashboard.css |
| `.brief-banner-overdue-items` | dashboard | views/dashboard.css |
| `.brief-banner-overdue-item` | dashboard | views/dashboard.css |
| `.brief-banner-overdue-name` | dashboard | views/dashboard.css |
| `.brief-banner-top3-list` | dashboard | views/dashboard.css |
| `.brief-banner-top3-item` | dashboard | views/dashboard.css |
| `.brief-banner-flags-list` | dashboard | views/dashboard.css |
| `.brief-banner-flag` | dashboard | views/dashboard.css |
| `.brief-banner-flag-msg` | dashboard | views/dashboard.css |
| `.dashboard-health-lanes` | dashboard | views/dashboard.css |
| `.dashboard-business-health` | dashboard | views/dashboard.css |
| `.dashboard-execution-health` | dashboard | views/dashboard.css |
| `.dashboard-business-header-row` | dashboard | views/dashboard.css |
| `.dashboard-pipeline-summary` | dashboard | views/dashboard.css |
| `.dashboard-pipeline-total` | dashboard | views/dashboard.css |
| `.dashboard-pipeline-legend` | dashboard | views/dashboard.css |
| `.dashboard-legend-row` | dashboard | views/dashboard.css |
| `.dashboard-mini-funnel` | dashboard | views/dashboard.css |
| `.team-workload-strip` | dashboard | views/dashboard.css |
| `.workload-person` | dashboard | views/dashboard.css |
| `.workload-person-name` | dashboard | views/dashboard.css |
| `.workload-bar-track` | dashboard | views/dashboard.css |
| `.workload-label` | dashboard | views/dashboard.css |
| `.health-metric-grid` | dashboard | views/dashboard.css |
| `.health-metric-card` | dashboard | views/dashboard.css |
| `.health-metric-value` | dashboard | views/dashboard.css |
| `.health-metric-label` | dashboard | views/dashboard.css |
| `.dashboard-action-zone` | dashboard | views/dashboard.css |
| `.dashboard-overdue-triage` | dashboard | views/dashboard.css |
| `.dashboard-overdue-groups` | dashboard | views/dashboard.css |
| `.overdue-group` | dashboard | views/dashboard.css |
| `.overdue-group-header` | dashboard | views/dashboard.css |
| `.overdue-group-name` | dashboard | views/dashboard.css |
| `.overdue-group-chevron` | dashboard | views/dashboard.css |
| `.overdue-group-body` | dashboard | views/dashboard.css |
| `.dashboard-triage-empty` | dashboard | views/dashboard.css |
| `.dashboard-activity-empty` | dashboard | views/dashboard.css |
| `.dashboard-activity-feed` | dashboard | views/dashboard.css |
| `.activity-item` | dashboard | views/dashboard.css |
| `.activity-item-icon` | dashboard | views/dashboard.css |
| `.activity-item-body` | dashboard | views/dashboard.css |
| `.activity-item-name` | dashboard | views/dashboard.css |
| `.activity-item-time` | dashboard | views/dashboard.css |
| `.factory-sim-mix-total` | factory | views/factory.css |
| `.factory-sim-machines` | factory | views/factory.css |
| `.factory-sim-results` | factory | views/factory.css |
| `.factory-sim-results-title` | factory | views/factory.css |
| `.factory-sim-compare-item` | factory | views/factory.css |
| `.factory-sim-compare-label` | factory | views/factory.css |
| `.factory-sim-compare-vals` | factory | views/factory.css |
| `.factory-sim-before` | factory | views/factory.css |
| `.factory-sim-after` | factory | views/factory.css |
| `.factory-sim-delta` | factory | views/factory.css |
| `.factory-sim-zone-bars` | factory | views/factory.css |
| `.factory-sim-zone-bars-title` | factory | views/factory.css |
| `.factory-sim-zone-bar-label` | factory | views/factory.css |
| `.factory-sim-mini-bar` | factory | views/factory.css |
| `.factory-formula-sidebar` | factory | views/factory.css |
| `.factory-formula-card` | factory | views/factory.css |
| `.factory-formula-name` | factory | views/factory.css |
| `.factory-formula-code` | factory | views/factory.css |
| `.factory-formula-desc` | factory | views/factory.css |
| `.factory-error-toast` | factory | views/factory.css |
| `.factory-edit-btn` | factory | views/factory.css |
| `.factory-edit-inline` | factory | views/factory.css |
| `.factory-machine-edit-row` | factory | views/factory.css |
| `.factory-edit-field` | factory | views/factory.css |
| `.factory-edit-field-wide` | factory | views/factory.css |
| `.factory-edit-input` | factory | views/factory.css |
| `.factory-edit-input-sm` | factory | views/factory.css |
| `.factory-edit-actions` | factory | views/factory.css |
| `.factory-edit-save-btn` | factory | views/factory.css |
| `.factory-edit-cancel-btn` | factory | views/factory.css |
| `.factory-formula-line` | factory | views/factory.css |
| `.factory-formula-label` | factory | views/factory.css |
| `.factory-formula-text` | factory | views/factory.css |
| `.factory-formula-result` | factory | views/factory.css |
| `.factory-rule-pills` | factory | views/factory.css |
| `.factory-rule-pill` | factory | views/factory.css |
| `.factory-machine-meta-row` | factory | views/factory.css |
| `.factory-rules-edit-section` | factory | views/factory.css |
| `.factory-rules-edit-label` | factory | views/factory.css |
| `.factory-rule-edit` | factory | views/factory.css |
| `.factory-rule-type-select` | factory | views/factory.css |
| `.factory-rule-target-input` | factory | views/factory.css |
| `.factory-rule-desc-input` | factory | views/factory.css |
| `.factory-rule-remove-btn` | factory | views/factory.css |
| `.factory-rule-add-btn` | factory | views/factory.css |
| `.factory-zone-detail-header` | factory | views/factory.css |
| `.factory-zone-detail-meta` | factory | views/factory.css |
| `.factory-zone-detail-title` | factory | views/factory.css |
| `.factory-zone-detail-ops` | factory | views/factory.css |
| `.factory-zone-notes` | factory | views/factory.css |
| `.factory-operating-edit` | factory | views/factory.css |
| `.registry-stats` | registry | views/registry.css |
| `.reg-stat` | knowledge, registry | core.css |
| `.reg-stat-number` | knowledge, registry | core.css |
| `.reg-stat-label` | knowledge, registry | core.css |
| `.registry-grid` | registry, system-map | core.css |
| `.reg-card` | registry, system-map | core.css |
| `.reg-card-header` | registry | views/registry.css |
| `.reg-status-badge` | registry | views/registry.css |
| `.reg-card-name` | registry | views/registry.css |
| `.reg-card-desc` | registry | views/registry.css |
| `.reg-card-metrics` | registry | views/registry.css |
| `.reg-card-activity` | registry | views/registry.css |
| `.reg-activity-text` | registry | views/registry.css |
| `.reg-activity-date` | registry | views/registry.css |
| `.reg-card-stack` | registry | views/registry.css |
| `.reg-tech-pill` | registry | views/registry.css |
